,Predict,Low,Up
2043-05-01,468.28921860275375,452.5980112968882,483.9804259086193
2043-06-01,467.56003626625153,451.8065460374111,483.31352649509193
2043-07-01,465.8341277436304,450.018618537605,481.6496369496558
2043-08-01,463.8153643166311,447.9380868443798,479.6926417888823
2043-09-01,462.3822841335489,446.4434815975246,478.3210866695732
2043-10-01,462.6847895938153,446.6847003099206,478.68487887771005
2043-11-01,464.2693756749316,448.20823428814214,480.3305170617211
2043-12-01,465.6835760310714,449.5537082937926,481.8134437683502
2044-01-01,466.8505612685884,450.654430560087,483.04669197708984
2044-02-01,467.5240303743329,451.26287889896577,483.7851818497
2044-03-01,468.4399937352274,452.1145184684547,484.7654690020001
2044-04-01,469.8827782927966,453.4934296199436,486.27212696564965
2044-05-01,470.5332524676699,454.08036792374884,486.986137011591
2044-06-01,469.8044598052658,453.2883243609741,486.3205952495575
2044-07-01,468.0794736059284,451.5003469374119,484.6586002744449
2044-08-01,466.0617890034951,449.419917859251,482.70366014773924
2044-09-01,464.62947465661045,447.92509848411663,481.3338508291043
2044-10-01,464.9318184583499,448.1651719790715,481.6984649376283
2044-11-01,466.51555773871263,449.686872140537,483.34424333688827
2044-12-01,467.92900234801004,451.0307306827884,484.8272740132317
2045-01-01,469.09536395012447,452.1299264009403,486.06080149930864
2045-02-01,469.76847315484935,452.7370906922273,486.7998556174714
2045-03-01,470.6839470261078,453.58730489533764,487.7805891568779
2045-04-01,472.12596056147424,454.96450167326805,489.28741944968044
2045-05-01,472.7760871237893,455.55014350552403,490.00203074205456
2045-06-01,472.047683927242,454.7575359929122,489.33783186157183
2045-07-01,470.32361955829987,452.96952292243174,487.677716194168
2045-08-01,468.3070132039102,450.88921084206703,485.7248155657533
2045-09-01,466.87546428396115,449.3941920646872,484.3567365032351
2045-10-01,467.1776465135637,449.6331357288958,484.72215729823154
2045-11-01,468.760539445702,451.15301798172464,486.3680609096794
2045-12-01,470.1732287120272,452.4952709401663,487.8511864838881
2046-01-01,471.33896701200905,453.5929520670424,489.0849819569757
2046-02-01,472.0117165080449,454.19884516412264,489.8245878519672
2046-03-01,472.9267011512498,455.04764749302393,490.8057548094757
2046-04-01,474.36794407644686,456.4231439018407,492.312744251053
2046-05-01,475.01772321196734,457.0075033057168,493.0279431182179
2046-06-01,474.2897092731468,456.21434570929046,492.36507283700314
2046-07-01,472.56656624197495,454.42631076359044,490.70682172035947
2046-08-01,470.55103755941445,452.34612954256227,488.75594557626664
2046-09-01,469.1202536573579,450.85092555292306,487.3895817617928
2046-10-01,469.42227440116756,451.08875422311485,487.75579457922026
2046-11-01,471.00432143736896,452.60683391260204,489.4018089621359
2046-12-01,472.4162557643762,453.947491074063,490.8850204546894
2047-01-01,473.5813710953173,455.04366929594346,492.11907289469116
2047-02-01,474.25376107489205,455.6483036965547,492.8592184532294
2047-03-01,475.1682567514863,456.49570724089756,493.84080626207503
2047-04-01,476.608729478327,457.8695168525053,495.34794210414873
2047-05-01,477.2581613727173,458.4526074167454,496.0637153286892
2047-06-01,476.5305364836047,457.65891313035485,495.40215983685454
2047-07-01,474.8083142978415,455.8708695934759,493.7457590022071
2047-08-01,472.7938627112038,453.790832591605,491.7968928308026
2047-09-01,471.3638434182152,452.2954570649339,490.4322297714965
2047-10-01,471.6657027625297,452.5321850508316,490.7992204742278
2047-11-01,473.24690435483984,454.0484769839455,492.4453317257342
2047-12-01,474.65808414596773,455.3875480154267,493.92862027650875
2048-01-01,475.82257684078195,456.48223474138024,495.16291894018366
2048-02-01,476.4946074960207,457.08562259075603,495.9035924012854
2048-03-01,477.4086144673074,457.9316400462359,496.88558888837895
2048-04-01,478.8483174073848,459.3037760120732,498.3928588026964
2048-05-01,479.4974022462102,459.8856108856775,499.10919360674285
2048-06-01,478.7701661988978,459.0913928478185,498.4489395499771
2048-07-01,477.0488643664446,457.3033535348207,496.7943751980685
2048-08-01,475.035489300131,455.2234736305564,494.84750496970565
2048-09-01,473.6062342076042,453.72793974919574,493.48452866601264
2048-10-01,473.90793223867524,453.9635808567911,493.8522836205594
2048-11-01,475.48828883889826,455.47809932674085,495.49847835105567
2048-12-01,476.8987144973698,456.8155937556435,496.9818352390961
2049-01-01,478.0625848887931,457.9088001152158,498.21636966237037
